title,timestamp,date,time,url,description
Chicago Blackhawks vs. Edmonton Oilers,2018-10-28 17:00:00 UTC,2018-10-28,05:00 PM,/events/2018/10/28/chicago-blackhawks-vs-edmonton-oilers/,Chicago Blackhawks vs. Edmonton Oilers
Chicago Bulls vs. Golden State Warriors,2018-10-29 19:00:00 UTC,2018-10-29,07:00 PM,/events/2018/10/29/chicago-bulls-vs-golden-state-warriors/,Chicago Bulls vs. Golden State Warriors
SO SO DEF - CANCELLED,2018-10-30 00:00:00 UTC,2018-10-30,12:00 AM,/events/2018/10/30/so-so-def/,"Grammy Award-winning Producer, Hall of Fame Songwriter, recording artist, and TV star Jermaine Dupri, has been an iconic presence in the music industry for 25 years. Celebrating his legacy and So So Def’s quarter century of success, Jermaine is bringing all his artists together on one stage for The So So Def 25th Anniversary CULTURAL CURREN$Y TOUR, which will include a stop in Chicago on October 30!"
Chicago Bulls vs. Denver Nuggets,2018-10-31 19:00:00 UTC,2018-10-31,07:00 PM,/events/2018/10/31/chicago-bulls-vs-denver-nuggets/,Chicago Bulls vs. Denver Nuggets
Chicago Bulls vs. Indiana Pacers,2018-11-02 19:00:00 UTC,2018-11-02,07:00 PM,/events/2018/11/02/chicago-bulls-vs-indiana-pacers/,Chicago Bulls vs. Indiana Pacers
FanHome Presents,2018-11-02 23:00:00 UTC,2018-11-02,11:00 PM,/events/2018/11/02/fanhome-league-of-legends-grand-finals-viewing-party/,The League of Legends World Championship Grand Finals are here and FanHome will host a late-night viewing party in a private space at the United Center on November 2 beginning at 11 PM. 
Chicago Bulls vs. Houston Rockets,2018-11-03 19:00:00 UTC,2018-11-03,07:00 PM,/events/2018/01/08/chicago-bulls-vs-houston-rockets1/,Chicago Bulls vs. Houston Rockets
Josh Groban,2018-11-06 20:00:00 UTC,2018-11-06,08:00 PM,/events/2018/11/06/josh-groban/,"Multi-platinum award-winning singer, songwriter and global superstar Josh Groban announced his Fall 2018, Arena tour, including a date in Chicago on Nov. 6. Joining him throughout the tour is Tony-Award winning, multi-platinum recording artist and actress, Idina Menzel."
Chicago Blackhawks vs. Carolina Hurricanes,2018-11-08 19:30:00 UTC,2018-11-08,07:30 PM,/events/2018/11/08/chicago-blackhawks-vs-carolina-hurricanes/,Chicago Blackhawks vs. Carolina Hurricanes
Chicago Bulls vs. Cleveland Cavaliers,2018-11-10 19:00:00 UTC,2018-11-10,07:00 PM,/events/2018/11/10/chicago-bulls-vs-cleveland-cavaliers/,Chicago Bulls vs. Cleveland Cavaliers
Chicago Bulls vs. Dallas Mavericks,2018-11-12 19:00:00 UTC,2018-11-12,07:00 PM,/events/2018/11/12/chicago-bulls-vs-dallas-mavericks/,Chicago Bulls vs. Dallas Mavericks
Michelle Obama,2018-11-13 20:00:00 UTC,2018-11-13,08:00 PM,/events/2018/11/13/michelle-obama-becoming/,"Today, Michelle Obama announced her U.S. book tour in support of her highly anticipated memoir, BECOMING, will kick off in Chicago on November 13! BECOMING: An Intimate Conversation with Michelle Obama will feature intimate and honest conversations between Mrs. Obama and a selection of to-be-announced moderators, reflective of the extraordinary stories shared in the wide-ranging chapters of her deeply personal book."
Chicago Blackhawks vs. St. Louis Blues,2018-11-14 19:00:00 UTC,2018-11-14,07:00 PM,/events/2018/11/14/chicago-blackhawks-vs-st-louis-blues/,Chicago Blackhawks vs. St. Louis Blues
Chicago Blackhawks vs. Los Angeles Kings,2018-11-16 19:30:00 UTC,2018-11-16,07:30 PM,/events/2018/11/16/chicago-blackhawks-vs-los-angeles-kings/,Chicago Blackhawks vs. Los Angeles Kings
Chicago Bulls vs. Toronto Raptors,2018-11-17 19:00:00 UTC,2018-11-17,07:00 PM,/events/2018/11/17/chicago-bulls-vs-toronto-raptors/,Chicago Bulls vs. Toronto Raptors
Chicago Blackhawks vs. Minnesota Wild,2018-11-18 17:00:00 UTC,2018-11-18,05:00 PM,/events/2018/11/18/chicago-blackhawks-vs-minnesota-wild/,Chicago Blackhawks vs. Minnesota Wild
Chicago Bulls vs. Phoenix Suns,2018-11-21 19:00:00 UTC,2018-11-21,07:00 PM,/events/2018/11/21/chicago-bulls-vs-phoenix-suns/,Chicago Bulls vs. Phoenix Suns
Chicago Bulls vs. Miami Heat,2018-11-23 19:00:00 UTC,2018-11-23,07:00 PM,/events/2018/11/23/chicago-bulls-vs-miami-heat/,Chicago Bulls vs. Miami Heat
107.5 WGCI Big Jam,2018-11-24 19:30:00 UTC,2018-11-24,07:30 PM,/events/2018/11/24/wgci-big-jam/,"107.5 WGCI Presents BIG JAM 2018 starring CARDI B, KODAK BLACK, TORY LANEZ, YOUNG DOLPH AND MORE."
Chicago Bulls vs. San Antonio Spurs,2018-11-26 19:00:00 UTC,2018-11-26,07:00 PM,/events/2018/11/26/chicago-bulls-vs-san-antonio-spurs/,Chicago Bulls vs. San Antonio Spurs
Chicago Blackhawks vs. Vegas Golden Knights,2018-11-27 19:00:00 UTC,2018-11-27,07:00 PM,/events/2018/11/27/chicago-blackhawks-vs-vegas-golden-knights/,Chicago Blackhawks vs. Vegas Golden Knights
Charlie Wilson,2018-11-30 20:00:00 UTC,2018-11-30,08:00 PM,/events/2018/08/25/charlie-wilson-r-b-summer-jam/,Grammy nominated artist Charlie Wilson's tour stop in Chicago on August 25 has been reschedule to Nov. 30.  The new event date and special guests will be announced soon. Tickets for the August show will be honored at the rescheduled show.
Train Like A Champ,2018-12-01 10:00:00 UTC,2018-12-01,10:00 AM,/events/2018/12/01/train-like-a-champ/,"TRAIN LIKE A CHAMP is coming back to the Atrium at the United Center, Saturday, December 1 for the second installment of its world-class performance training series. "
Chicago Blackhawks vs. Calgary Flames,2018-12-02 18:00:00 UTC,2018-12-02,06:00 PM,/events/2018/12/02/chicago-blackhawks-vs-calgary-flames/,Chicago Blackhawks vs. Calgary Flames
Illinois Bicentennial Celebration - RELOCATED,2018-12-03 00:00:00 UTC,2018-12-03,12:00 AM,/events/2018/12/03/illinois-bicentennial-celebration/,"The Illinois Bicentennial Celebration has been relocated from United Center to Navy Pier, located at 600 E. Grand Ave., Chicago, IL 60611.Your tickets for the event will still be valid at Navy Pier.  If you do no longer wish to attend at the new venue, you may receive a full refund by contacting Ticketmaster."
University of Illinois vs. Ohio State,2018-12-05 18:00:00 UTC,2018-12-05,06:00 PM,/events/2018/12/05/illinois-vs-ohio-state/,University of Illinois vs. Ohio State
Travis Scott,2018-12-06 19:30:00 UTC,2018-12-06,07:30 PM,/events/2018/12/06/travis-scott-astroworld-wish-you-were-here/,"Travis Scott brings his Astroworld - Wish You Were Here Tour to Chicago on Dec. 6, with special guests Sheck Wes, Trippie Redd and Gunna."
Chicago Bulls vs. Oklahoma City Thunder,2018-12-07 19:00:00 UTC,2018-12-07,07:00 PM,/events/2018/12/07/chicago-bulls-vs-oklahoma-city-thunder/,Chicago Bulls vs. Oklahoma City Thunder
Chicago Bulls vs. Boston Celtics,2018-12-08 19:00:00 UTC,2018-12-08,07:00 PM,/events/2018/12/08/chicago-bulls-vs-boston-celtics/,Chicago Bulls vs. Boston Celtics
Chicago Blackhawks vs. Montreal Canadiens,2018-12-09 17:00:00 UTC,2018-12-09,05:00 PM,/events/2018/12/09/chicago-blackhawks-vs-montreal-canadiens/,Chicago Blackhawks vs. Montreal Canadiens
Chicago Bulls vs. Sacramento Kings,2018-12-10 19:00:00 UTC,2018-12-10,07:00 PM,/events/2018/12/10/chicago-bulls-vs-sacramento-kings/,Chicago Bulls vs. Sacramento Kings
Chicago Blackhawks vs. Pittsburgh Penguins,2018-12-12 19:00:00 UTC,2018-12-12,07:00 PM,/events/2018/12/12/chicago-blackhawks-vs-pittsburgh-penguins/,Chicago Blackhawks vs. Pittsburgh Penguins
Chicago Blackhawks vs. Winnipeg Jets,2018-12-14 19:30:00 UTC,2018-12-14,07:30 PM,/events/2018/12/14/chicago-blackhawks-vs-winnipeg-jets/,Chicago Blackhawks vs. Winnipeg Jets
Chicago Blackhawks vs. San Jose Sharks,2018-12-16 18:00:00 UTC,2018-12-16,06:00 PM,/events/2018/12/16/chicago-blackhawks-vs-san-jose-sharks/,Chicago Blackhawks vs. San Jose Sharks
Chicago Blackhawks vs. Nashville Predators,2018-12-18 19:30:00 UTC,2018-12-18,07:30 PM,/events/2018/12/18/chicago-blackhawks-vs-nashville-predators/,Chicago Blackhawks vs. Nashville Predators
Chicago Bulls vs. Brooklyn Nets,2018-12-19 19:00:00 UTC,2018-12-19,07:00 PM,/events/2018/12/19/chicago-bulls-vs-brooklyn-nets/,Chicago Bulls vs. Brooklyn Nets
Chicago Bulls vs. Orlando Magic,2018-12-21 19:00:00 UTC,2018-12-21,07:00 PM,/events/2018/12/21/chicago-bulls-vs-orlando-magic/,Chicago Bulls vs. Orlando Magic
Chicago Blackhawks vs. Florida Panthers,2018-12-23 18:00:00 UTC,2018-12-23,06:00 PM,/events/2018/12/23/chicago-blackhawks-vs-florida-panthers/,Chicago Blackhawks vs. Florida Panthers
Chicago Bulls vs. Minnesota Timberwolves,2018-12-26 19:00:00 UTC,2018-12-26,07:00 PM,/events/2018/12/26/chicago-bulls-vs-minnesota-timberwolves/,Chicago Bulls vs. Minnesota Timberwolves
Chicago Blackhawks vs. Minnesota Wild,2018-12-27 19:30:00 UTC,2018-12-27,07:30 PM,/events/2018/12/27/chicago-blackhawks-vs-minnesota-wild/,Chicago Blackhawks vs. Minnesota Wild
Harlem Globetrotters,2018-12-28 00:00:00 UTC,2018-12-28,12:00 AM,/events/2018/12/28/harlem-globetrotters/,The Original Harlem Globetrotters all-new Fan Powered World tour is headed your  way. Take your family to this unforgettable event where you won’t be watching the action...you’ll be in the middle of it! 
WWE LIVE HOLIDAY TOUR,2018-12-29 19:30:00 UTC,2018-12-29,07:30 PM,/events/2019/12/29/WWE-Live-Holiday-Tour/,"See your favorite superstars in action live when WWE returns to the United Center in Chicago for the WWE Live Holiday Tour on Saturday, Dec. 29, 2018!"
Chicago Blackhawks vs. Boston Bruins,2019-01-01 12:00:00 UTC,2019-01-01,12:00 PM,/events/2019/01/01/chicago-blackhawks-vs-boston-bruins/,Chicago Blackhawks vs. Boston Bruins
Chicago Bulls vs. Orlando Magic,2019-01-02 19:00:00 UTC,2019-01-02,07:00 PM,/events/2019/01/02/chicago-bulls-vs-orlando-magic/,Chicago Bulls vs. Orlando Magic
Chicago Bulls vs. Indiana Pacers,2019-01-04 19:00:00 UTC,2019-01-04,07:00 PM,/events/2019/01/04/chicago-bulls-vs-indiana-pacers/,Chicago Bulls vs. Indiana Pacers
Chicago Bulls vs. Brooklyn Nets,2019-01-06 14:30:00 UTC,2019-01-06,02:30 PM,/events/2019/01/06/chicago-bulls-vs-brooklyn-nets/,Chicago Bulls vs. Brooklyn Nets
Chicago Blackhawks vs. Calgary Flames,2019-01-07 19:30:00 UTC,2019-01-07,07:30 PM,/events/2019/01/07/chicago-blackhawks-vs-calgary-flames/,Chicago Blackhawks vs. Calgary Flames
Chicago Blackhawks vs. Nashville Predators,2019-01-09 19:00:00 UTC,2019-01-09,07:00 PM,/events/2019/01/09/chicago-blackhawks-vs-nashville-predators/,Chicago Blackhawks vs. Nashville Predators
