"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-01","8.50","0.00","0.0","0.0","25","11"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-02","8.05","0.00","0.0","0.0","30","10"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-03","11.41","0.00","0.0","0.0","29","18"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-04","13.20","0.00","0.0","0.0","36","13"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-05","9.62","0.03","0.4","0.0","39","18"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-06","11.86","0.00","0.0","0.0","36","18"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-07","12.75","0.00","0.0","0.0","41","15"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-08","9.62","0.00","0.0","0.0","44","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-09","14.09","0.00","0.0","0.0","50","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-10","8.50","0.63","0.0","0.0","45","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-11","12.97","0.30","0.0","0.0","52","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-12","13.20","0.06","0.0","0.0","53","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-13","12.53","0.10","0.0","0.0","30","14"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-14","6.49","0.00","0.0","0.0","25","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-15","2.24","0.00","0.0","0.0","31","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-16","13.87","0.00","0.0","0.0","36","16"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-17","9.40","0.00","0.0","0.0","33","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-18","14.76","0.00","0.0","0.0","43","19"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-19","17.00","0.00","0.0","0.0","47","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-20","16.11","0.00","0.0","0.0","28","13"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-21","16.55","0.00","0.0","0.0","15","5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-22","10.96","0.00","0.0","0.0","11","-1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-23","12.75","0.01","0.4","0.0","23","10"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-24","10.29","0.00","0.0","0.0","22","4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-25","11.63","0.06","1.1","0.0","29","18"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-26","6.93","0.00","0.0","0.0","28","13"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-27","14.32","0.58","0.1","0.0","37","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-28","9.62","0.08","0.0","0.0","48","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-29","13.20","1.33","0.0","0.0","63","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-30","12.08","0.45","0.6","0.0","44","21"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01-31","18.34","0.00","0.0","0.0","21","6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-01","12.53","0.02","0.5","0.0","14","0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-02","8.72","0.12","1.8","0.0","23","8"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-03","8.72","0.04","0.5","2.0","21","9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-04","8.72","0.19","2.4","3.0","28","13"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-05","9.40","0.02","0.5","3.0","31","6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-06","6.71","0.00","0.0","2.0","36","11"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-07","8.28","1.07","1.4","2.0","34","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-08","11.63","0.00","0.1","3.0","33","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-09","7.38","0.00","0.0","3.0","32","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-10","16.33","0.29","0.0","3.0","49","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-11","23.94","0.00","0.0","0.0","45","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-12","9.40","0.00","0.0","0.0","29","21"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-13","5.82","0.00","0.0","0.0","44","19"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-14","12.75","0.00","0.0","0.0","39","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-15","11.41","0.00","0.0","0.0","33","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-16","10.51","0.00","0.0","0.0","20","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-17","5.59","0.00","0.0","0.0","30","9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-18","17.22","0.29","0.0","0.0","52","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-19","20.58","0.00","0.2","0.0","30","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-20","10.07","0.00","0.0","0.0","24","8"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-21","12.30","0.07","0.8","0.0","32","19"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-22","10.96","0.20","1.9","3.0","34","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-23","10.51","0.00","0.0","2.0","28","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-24","4.25","0.00","0.0","2.0","39","17"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-25","5.37","0.00","0.0","1.0","43","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-26","18.34","0.45","4.8","0.0","36","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-27","11.41","0.18","1.0","5.0","34","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02-28","13.20","0.02","0.2","4.0","35","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-01","14.09","0.02","0.7","3.0","30","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-02","11.41","0.00","0.0","3.0","31","17"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-03","4.70","0.00","0.0","3.0","34","15"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-04","8.28","0.00","0.0","3.0","34","18"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-05","11.86","0.66","9.2","3.0","33","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-06","12.30","0.00","0.0","10.0","34","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-07","5.37","0.00","0.0","9.0","40","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03-08","6.71","0.00","0.0","6.0","40","19"
