pickup_community_area,name,total
8,Near North Side,29242787.0
32,Loop,19192786.0
28,Near West Side,7684181.0
6,Lake View,6466521.0
76,O'Hare Airport,5223492.0
7,Lincoln Park,5194354.0
24,West Town,3414749.0
33,Near South Side,2015385.0
3,Uptown,1545830.0
56,Garfield Ridge,1480058.0
22,Logan Square,1136880.0
77,Edgewater,1000794.0
5,North Center,627140.0
4,Lincoln Square,456702.0
16,Irving Park,361753.0
1,Rogers Park,352562.0
41,Hyde Park,344843.0
2,West Ridge,338942.0
21,Avondale,271543.0
14,Albany Park,204555.0
35,Douglas,118413.0
11,Jefferson Park,118344.0
39,Kenwood,102312.0
34,Armour Square,101473.0
31,Lower West Side,90237.0
59,Mckinley Park,74688.0
15,Portage Park,72558.0
13,North Park,54082.0
10,Norwood Park,47125.0
25,Austin,46609.0
23,Humboldt Park,40110.0
60,Bridgeport,37808.0
42,Woodlawn,32161.0
43,South Shore,30798.0
38,Grand Boulevard,27982.0
19,Belmont Cragin,27721.0
12,Forest Glen,20922.0
44,Chatham,19379.0
17,Dunning,16478.0
30,South Lawndale,15665.0
49,Roseland,14590.0
27,East Garfield Park,14085.0
20,Hermosa,14002.0
58,Brighton Park,13863.0
69,Greater Grand Crossing,13223.0
29,North Lawndale,13205.0
61,New City,12404.0
36,Oakland,11875.0
40,Washington Park,9228.0
64,Clearing,8861.0
68,Englewood,8459.0
57,Archer Heights,6720.0
46,South Chicago,6422.0
71,Auburn Gresham,6332.0
62,West Elsdon,6133.0
66,Chicago Lawn,5816.0
26,West Garfield Park,5746.0
48,Calumet Heights,5336.0
18,Montclare,5258.0
67,West Englewood,5170.0
70,Ashburn,4955.0
37,Fuller Park,4812.0
65,West Lawn,4563.0
63,Gage Park,4416.0
45,Avalon Park,4071.0
73,Washington Heights,3445.0
51,South Deering,3243.0
9,Edison Park,2945.0
53,West Pullman,2160.0
75,Morgan Park,2089.0
72,Beverly,2072.0
50,Pullman,1433.0
47,Burnside,880.0
52,East Side,707.0
55,Hegewisch,554.0
74,Mount Greenwood,478.0
54,Riverdale,409.0
NA,NA,0.0
