pickup_community_area,name,may_jul_2014,sep_nov_2015,sep_nov_2016,annual_growth,q2_2014_to_current
14,Albany Park,16811.0,11857.0,7456.0,-0.3711731466644177,-0.5564808756171554
57,Archer Heights,654.0,363.0,164.0,-0.5482093663911846,-0.7492354740061162
34,Armour Square,9294.0,5495.0,3609.0,-0.34322111010009104,-0.6116849580374435
70,Ashburn,394.0,312.0,186.0,-0.40384615384615385,-0.5279187817258884
71,Auburn Gresham,469.0,453.0,281.0,-0.3796909492273731,-0.40085287846481876
25,Austin,3134.0,2679.0,626.0,-0.7663307204180665,-0.8002552648372687
45,Avalon Park,312.0,291.0,130.0,-0.5532646048109966,-0.5833333333333333
21,Avondale,23797.0,13869.0,7457.0,-0.46232605090489576,-0.6866411732571333
19,Belmont Cragin,2377.0,1627.0,1071.0,-0.34173325138291333,-0.5494320572149769
72,Beverly,166.0,130.0,65.0,-0.5,-0.608433734939759
60,Bridgeport,3488.0,2052.0,1069.0,-0.47904483430799216,-0.6935206422018348
58,Brighton Park,1063.0,871.0,433.0,-0.5028702640642939,-0.592662276575729
47,Burnside,50.0,61.0,35.0,-0.42622950819672134,-0.30000000000000004
48,Calumet Heights,366.0,271.0,129.0,-0.5239852398523985,-0.6475409836065573
44,Chatham,1491.0,1465.0,782.0,-0.46621160409556317,-0.47551978537894035
66,Chicago Lawn,383.0,399.0,159.0,-0.6015037593984962,-0.5848563968668408
64,Clearing,551.0,1174.0,199.0,-0.8304940374787053,-0.6388384754990926
35,Douglas,10296.0,7223.0,3143.0,-0.5648622456043195,-0.6947358197358198
17,Dunning,1044.0,1185.0,448.0,-0.6219409282700422,-0.5708812260536398
27,East Garfield Park,1e3,838.0,622.0,-0.2577565632458234,-0.378
52,East Side,57.0,80.0,28.0,-0.65,-0.5087719298245614
77,Edgewater,81358.0,58147.0,33738.0,-0.419780900132423,-0.5853142899284642
9,Edison Park,245.0,148.0,127.0,-0.14189189189189189,-0.4816326530612245
68,Englewood,624.0,556.0,234.0,-0.579136690647482,-0.625
12,Forest Glen,1537.0,1050.0,811.0,-0.2276190476190476,-0.47234873129473
37,Fuller Park,314.0,343.0,191.0,-0.4431486880466472,-0.39171974522292996
63,Gage Park,285.0,264.0,126.0,-0.5227272727272727,-0.5578947368421052
56,Garfield Ridge,118681.0,121942.0,74553.0,-0.3886191796099785,-0.37182025766550675
38,Grand Boulevard,2031.0,1825.0,1107.0,-0.3934246575342466,-0.45494830132939434
69,Greater Grand Crossing,918.0,757.0,449.0,-0.40686922060766184,-0.5108932461873639
55,Hegewisch,18.0,38.0,44.0,0.1578947368421053,1.4444444444444446
20,Hermosa,1090.0,842.0,560.0,-0.334916864608076,-0.4862385321100917
23,Humboldt Park,2991.0,2395.0,1564.0,-0.34697286012526096,-0.47709796054831155
41,Hyde Park,31142.0,19502.0,10027.0,-0.4858476053738078,-0.6780232483462847
16,Irving Park,29945.0,18841.0,12725.0,-0.32461122021124145,-0.5750542661546167
11,Jefferson Park,8260.0,8313.0,6355.0,-0.23553470467941773,-0.23062953995157387
39,Kenwood,9123.0,5809.0,3119.0,-0.46307453950766053,-0.6581168475282253
6,Lake View,571732.0,333232.0,196032.0,-0.41172516444999285,-0.6571260660589227
7,Lincoln Park,469387.0,250672.0,146076.0,-0.4172623986723687,-0.6887941080600869
4,Lincoln Square,39957.0,23493.0,13393.0,-0.42991529391733707,-0.6648146757764597
22,Logan Square,103753.0,52338.0,26078.0,-0.50173869846001,-0.7486530509961158
32,Loop,1426907.0,1233935.0,945945.0,-0.233391548177173,-0.33706611573143874
31,Lower West Side,8354.0,4839.0,2468.0,-0.48997726803058483,-0.7045726598036868
59,Mckinley Park,5699.0,3546.0,3112.0,-0.12239142695995486,-0.4539392875943148
18,Montclare,505.0,241.0,77.0,-0.6804979253112033,-0.8475247524752475
75,Morgan Park,151.0,129.0,110.0,-0.1472868217054264,-0.2715231788079471
74,Mount Greenwood,28.0,35.0,17.0,-0.5142857142857142,-0.3928571428571429
8,Near North Side,2309720.0,1814924.0,1282666.0,-0.2932673764851862,-0.4446660201236513
33,Near South Side,176221.0,134935.0,103322.0,-0.23428317337977544,-0.413679413917751
28,Near West Side,574899.0,467459.0,334848.0,-0.28368477235436695,-0.417553344152625
61,New City,919.0,849.0,471.0,-0.44522968197879864,-0.4874863982589771
5,North Center,57966.0,28798.0,15127.0,-0.4747204666990763,-0.7390366766725323
29,North Lawndale,828.0,1766.0,1170.0,-0.3374858437146093,0.4130434782608696
13,North Park,4534.0,2947.0,1958.0,-0.33559552086868005,-0.5681517423908249
10,Norwood Park,2990.0,3494.0,2067.0,-0.4084144247281053,-0.30869565217391304
36,Oakland,891.0,730.0,428.0,-0.41369863013698627,-0.5196408529741863
76,Ohare,384356.0,419722.0,303696.0,-0.27643535483010184,-0.2098575279168271
15,Portage Park,6647.0,3856.0,3045.0,-0.2103215767634855,-0.5418986008725741
50,Pullman,75.0,72.0,39.0,-0.45833333333333337,-0.48
54,Riverdale,32.0,20.0,8.0,-0.6,-0.75
1,Rogers Park,28143.0,20319.0,11998.0,-0.40951818495004677,-0.5736772909782184
49,Roseland,418.0,1868.0,980.0,-0.47537473233404715,1.3444976076555024
46,South Chicago,419.0,448.0,192.0,-0.5714285714285714,-0.5417661097852029
51,South Deering,231.0,193.0,149.0,-0.227979274611399,-0.35497835497835495
30,South Lawndale,1135.0,1098.0,599.0,-0.4544626593806922,-0.4722466960352423
43,South Shore,2216.0,1766.0,917.0,-0.48074745186862966,-0.5861913357400722
3,Uptown,127169.0,83290.0,49258.0,-0.4085964701644855,-0.6126571727386392
73,Washington Heights,205.0,254.0,164.0,-0.35433070866141736,-0.19999999999999996
40,Washington Park,657.0,584.0,311.0,-0.46746575342465757,-0.5266362252663623
62,West Elsdon,455.0,391.0,186.0,-0.5242966751918159,-0.5912087912087912
67,West Englewood,360.0,370.0,191.0,-0.48378378378378384,-0.46944444444444444
26,West Garfield Park,325.0,367.0,135.0,-0.6321525885558583,-0.5846153846153845
65,West Lawn,416.0,276.0,120.0,-0.5652173913043479,-0.7115384615384616
53,West Pullman,126.0,168.0,69.0,-0.5892857142857143,-0.45238095238095233
2,West Ridge,26235.0,20188.0,13217.0,-0.3453041410739053,-0.49620735658471504
24,West Town,306267.0,163100.0,85393.0,-0.47643776824034334,-0.7211811915746718
42,Woodlawn,2806.0,1716.0,756.0,-0.5594405594405594,-0.7305773342836779
