month,trips_per_day
2016-11-30,"336,737"
2016-10-31,"350,380"
2016-09-30,"337,321"
2016-08-31,"320,718"
2016-07-31,"332,231"
2016-06-30,"371,257"
2016-05-31,"381,878"
2016-04-30,"397,780"
2016-03-31,"393,886"
2016-02-29,"392,470"
2016-01-31,"351,816"
2015-12-31,"369,686"
2015-11-30,"377,076"
2015-10-31,"397,244"
2015-09-30,"374,156"
2015-08-31,"359,029"
2015-07-31,"372,979"
2015-06-30,"410,831"
2015-05-31,"424,459"
2015-04-30,"435,701"
2015-03-31,"430,669"
2015-02-28,"444,633"
2015-01-31,"411,238"
2014-12-31,"419,776"
2014-11-30,"440,576"
2014-10-31,"459,087"
2014-09-30,"445,782"
2014-08-31,"409,305"
2014-07-31,"422,771"
2014-06-30,"460,393"
2014-05-31,"476,569"
2014-04-30,"487,275"
2014-03-31,"497,661"
2014-02-28,"466,522"
2014-01-31,"444,537"
2013-12-31,"450,634"
2013-11-30,"479,527"
2013-10-31,"483,921"
2013-09-30,"470,147"
2013-08-31,"406,246"
2013-07-31,"445,861"
2013-06-30,"479,148"
2013-05-31,"492,962"
2013-04-30,"503,249"
2013-03-31,"507,914"
2013-02-28,"499,556"
2013-01-31,"476,544"
2012-12-31,"474,005"
2012-11-30,"459,114"
2012-10-31,"468,377"
2012-09-30,"484,783"
2012-08-31,"463,841"
2012-07-31,"463,784"
2012-06-30,"503,139"
2012-05-31,"502,097"
2012-04-30,"515,848"
2012-03-31,"520,764"
2012-02-29,"516,585"
2012-01-31,"482,811"
2011-12-31,"481,410"
2011-11-30,"484,122"
2011-10-31,"506,532"
2011-09-30,"487,470"
2011-08-31,"427,740"
2011-07-31,"475,475"
2011-06-30,"503,152"
2011-05-31,"501,708"
2011-04-30,"490,577"
2011-03-31,"518,212"
2011-02-28,"507,167"
2011-01-31,"434,297"
2010-12-31,"445,727"
2010-11-30,"463,701"
2010-10-31,"457,996"
2010-09-30,"517,972"
2010-08-31,"404,115"
2010-07-31,"472,752"
2010-06-30,"494,137"
2010-05-31,"499,374"
2010-04-30,"504,798"
2010-03-31,"415,567"
2010-02-28,"397,969"
2010-01-31,"479,376"
